Did I tell you about the time in {{YEAR}}. It was the first time that I,I always wanted to have my own {{SEARCH_SUBJECT}}. Because I heard that,Which reminds me of {{SUBJECT}}. ,"But then again, I never did care much to talk about that topic. Some would say that it's a little bit uncouth, but when you think about it, just what is a couth anyway? Sorry, what were we saying?","But that's another topic. Like ironing your pants with a bowling ball, or {{SUBJECT}}.",I remember a young whipper snapper called Jeeves. Whatever happened to that guy?
,,,,,
,,,,,I just sold my wardrobe to a hipster for ten shillings. Why did he have shillings? Why?
,,,,,"Back in my day, ""pimp my ride"" meant a kangaroo with a new hat. "
,,,,,"I remember when the Brisbane river was just the Brisbane creek, and it took three days to get from West End to New Farm Park. "
,,,,,
,I don't like the look of that ROBOT. It reminds me of that kid that used to throw his baseball on my lawn. Best lawn in the city it was. Planted it myself. Planted the trees too. Gum trees they were. They grew so big that they blocked the sun and killed the lawn. I never liked that lawn. ,,,,
,Which reminds me of ROBOT. Which in my day we called ROBOT.,,,,I liked everything that hipsters like before it was cool. And I probably invented it too. 
,,,,,"Back in my day, I once left a broken steam engine on overnight. I don't know what's worse, getting fired from the rail workshop or accidentally inventing Dubstep."
,,,,,"Have you seen the way people dance these days? In my day, shuffle is what you did when you caught polio. "
,"We called it ""the year of the sparrow"". Sparrow was the nickname of a kid down the road that caught the measles and didn't have to go to school. You know what else doesn't go to school? ROBOT. ",,,,
,"That was an interesting year. We trade our guitar for turntables. Sold our turntables for guitars. Oh, and this.",,,,
,"That was a hot year. And wet, really wet. And then it got really cold. And then really dry. And then it was hot again.",,,,
